First Name,Middle Initial,Last Name,Address,Major,Credit Hours,Scholarship,GPA
Hasan,A,Abbas,"7975 W. New St. Houston, TX 77016",Information Technology,15,True,3.6
Caroline,C,Adams,"631 Ann Drive Austin, TX 78758",Spanish,48,True,3.9
Byron,S,Aguirre,"22 Wilson Circle Pasadena, TX 77506",Archaeology,12,True,3.8
Joel,T,Anderson,"9761 Gartner St. Cleburne, TX 76031",News Writing,33,False,3.2
Sarah,P,Anderson,"81 Locust Court Paducah, KY 42001",Music Education,63,False,3.5
Kayleigh,L,Armstrong,"774 Sutor Street Westport, CT 06880",Fashion Design,33,False,3.2
Kim,H,Banks,"933 St Margarets Road El Paso, TX 79936",Spanish,21,True,4.0
Felix,H,Barnes,"11 Lilac St. Spring, TX 77373",Political Science,60,False,2.8
Hayley,K,Becker,"91 W. Lower River St. Houston, TX 77080",Chemistry,83,False,3.6
Scott,P,Bishop,"11 Summer St. La Porte, TX 77571",Marketing,60,False,3.6
Tyler,N,Butler,"31 Hudson Lane Dallas, TX 75216",Music Education,46,True,3.6
Taylor,J,Campbell,"543 Oakland St. Mercedes, TX 78570",Supply Chain Management,36,False,3.2
Jack,G,Chang,"749 Glenholme Ave. Austin, TX 78745",Economics,45,False,3.5
Zakariya,H,Clark,"62 Green Dr. San Antonio, TX 78211",Interior Design,36,True,3.9
Mark,H,Coleman,"541 N. Forest Ave. Livingston, TX 77351",UNT,15,True,4.0
Mary,K,Connolly,"959 N. Border Avenue New Braunfels, TX 78130",Public Relations,27,True,4.0
Mark,T,Cook,"435 Colonial Road Apt 489 San Antonio, TX 78229",Electrical Engineering,83,False,3.5
Tobias,T,Cross,"382 Pacific St. Lake Jackson, TX 77566",Early Childhood Education,62,True,4.0
Caleb,N,Cruz,"213 Bridle Street Houston, TX 77039",Accounting,24,True,3.8
Leon,M,Cummings,"481 Randall Mill Lane Friendswood, TX 77546",Journalism,81,False,3.4
Tristan,P,Davidson,"798 South Hilltop Road Waco, TX 76705",Drawing and Painting,12,True,3.8
Maria,D,Diaz,"20 John St. Coraopolis, PA 15108",Art History,93,True,4.0
